ID,Club,POS,GP,GS,A,GWA,HmA,RdA,A/90min,Timestamp
Chad Deering,DAL,M,27,26,5,0,3,2,0.21,2003
John Spencer,COL,F,27,25,5,0,2,3,0.2,2003
Brian Kamler,NE,M,28,28,5,0,4,1,0.19,2003
Carlos Ruiz,LA,F,26,25,5,0,5,0,0.19,2003
Toni Nhleko,DAL,F,11,9,4,0,2,2,0.46,2003
Edson Buddle,CLB,F,21,16,4,1,3,1,0.24,2003
Brian West,CLB,M-F,24,17,4,1,3,1,0.23,2003
Kyle Martino,CLB,M,22,20,4,0,4,0,0.2,2003
Joselito Vaca,DAL,M,27,21,4,1,2,2,0.19,2003
Taylor Twellman,NE,F,22,20,4,0,2,2,0.19,2003
Chris Albright,LA,D,27,23,4,1,2,2,0.18,2003
Oscar Pareja,DAL,M,24,23,4,2,3,1,0.18,2003
Frankie Hejduk,CLB,D,23,23,4,1,1,3,0.17,2003
Chris Armas,CHI,M,25,25,4,0,3,1,0.16,2003
Joe Franchino,NE,M,25,25,4,0,2,2,0.15,2003
Chris Klein,KC,M,27,27,4,2,2,2,0.14,2003
Dwayne De Rosario,SJ,M,11,6,3,1,2,1,0.39,2003
Santino Quaranta,DC,M-F,12,8,3,1,1,2,0.37,2003
Eliseo Quintanilla,DC,F-M,18,12,3,0,1,2,0.23,2003
Justin Mapp,CHI,M,21,18,3,0,2,1,0.2,2003
Igor Simutenkov,KC,M-F,21,19,3,1,1,2,0.19,2003
Ronnie Ekelund,SJ,M,22,17,3,2,2,1,0.19,2003
Francisco Gomez,KC,M,26,18,3,1,2,1,0.16,2003
Brian McBride,CLB,F,24,23,3,0,2,1,0.12,2003
Brian Dunseth,CLB,D,28,26,3,0,1,2,0.11,2003
Jake Traeger,CLB,D,1,0,2,0,2,0,15,2003
Casey Schmidt,COL,F,13,1,2,0,2,0,0.5,2003
Zach Kingsley,COL,M,12,5,2,0,1,1,0.38,2003
Daniel Hernandez,NE,M,9,4,2,0,1,1,0.35,2003
Diego Serna,LA,F,10,8,2,1,2,0,0.27,2003
Alex Pineda Chacon,CLB,M,14,7,2,1,1,1,0.26,2003
Nate Jaqua,CHI,F,20,5,2,0,0,2,0.25,2003
Alecko Eskandarian,DC,F,23,5,2,1,0,2,0.25,2003
Alejandro Moreno,LA,F,24,10,2,1,2,0,0.16,2003
Brian Ching,SJ,F,15,14,2,2,0,2,0.15,2003
Chris Brown,KC,M-F,21,12,2,1,1,1,0.14,2003
Mauricio Cienfuegos,LA,M,20,15,2,1,2,0,0.13,2003
John Wolyniec,MET,F,25,14,2,1,1,1,0.13,2003
Wolde Harris,KC,F,27,15,2,0,1,1,0.13,2003
Jason Kreis,DAL,M,18,18,2,1,1,1,0.12,2003
Leo Cullen,NE,M,26,18,2,0,1,1,0.12,2003
Chris Gbandi,DAL,D,22,17,2,0,2,0,0.11,2003
Pablo Mastroeni,COL,M,18,18,2,0,0,2,0.11,2003
Mike Magee,MET,M,29,19,2,0,1,1,0.11,2003
Eddie Pope,MET,D,20,20,2,0,1,1,0.1,2003
Ronald Cerritos,DAL,F,25,19,2,0,2,0,0.1,2003
Carlos Bocanegra,CHI,D,19,19,2,1,1,1,0.1,2003
Craig Ziadie,MET,D,22,20,2,0,2,0,0.09,2003
Earnie Stewart,DC,M,21,21,2,1,1,1,0.09,2003
Chris Roner,SJ,M,23,21,2,1,2,0,0.09,2003
Craig Waibel,SJ,D,24,22,2,0,0,2,0.09,2003
Ramiro Corrales,SJ,M,25,24,2,0,0,2,0.09,2003
Simon Elliott,LA,M,24,23,2,1,1,1,0.08,2003
Danny Califf,LA,D,23,23,2,1,2,0,0.08,2003
Hong Myung Bo,LA,D,25,25,2,2,2,0,0.08,2003
Richie Williams,MET,M,26,26,2,0,1,1,0.08,2003
Shalrie Joseph,NE,M,28,27,2,0,1,1,0.07,2003
Kerry Zavagnin,KC,M,29,27,2,0,1,1,0.07,2003
Jeff Agoos,SJ,D,28,28,2,0,2,0,0.07,2003
Wes Hart,COL,D-M,29,29,2,0,1,1,0.07,2003
Jonathan Bolanos,CHI,M,2,1,1,0,0,1,0.98,2003
Dipsy Selolwane,CHI,F,5,1,1,1,1,0,0.55,2003
Jorge Vazquez,KC,M,4,2,1,0,1,0,0.46,2003
Ryan Futagaki,CHI,M,6,2,1,0,1,0,0.41,2003
Rodrigo Faria,CHI,F,9,7,1,0,1,0,0.16,2003
Arturo Alvarez,SJ,M,15,5,1,0,0,1,0.14,2003
Gavin Glinton,DAL,F,19,7,1,0,0,1,0.13,2003
Eddie Gaven,MET,M,12,7,1,1,0,1,0.13,2003
Paul Broome,DAL,M,11,8,1,0,1,0,0.12,2003
Antonio Martinez,DAL,F-M,14,8,1,0,1,0,0.12,2003
Josh Wolff,KC,F,13,9,1,1,1,0,0.1,2003
Bobby Rhine,DAL,M,25,10,1,0,1,0,0.09,2003
Jose Alegria,DC,M,17,13,1,0,1,0,0.08,2003
Seth Trembly,COL,M-D,16,11,1,0,0,1,0.08,2003
Eddie Robinson,SJ,D,13,13,1,0,1,0,0.08,2003
Carey Talley,KC,D,20,13,1,0,0,1,0.07,2003
Bobby Convey,DC,M,19,16,1,0,1,0,0.06,2003
Bryan Namoff,DC,D,22,17,1,0,1,0,0.05,2003
C.J. Brown,CHI,D,21,19,1,0,1,0,0.05,2003
Alexi Lalas,LA,D,22,19,1,0,0,1,0.05,2003
Sasha Victorine,LA,M,20,20,1,0,0,1,0.05,2003
Kelly Gray,CHI,D-M,28,20,1,1,0,1,0.05,2003
Galin Ivanov,DC,D,24,22,1,0,1,0,0.04,2003
Clint Mathis,MET,M,22,22,1,0,1,0,0.04,2003
Ezra Hendrickson,DAL,D,28,25,1,0,1,0,0.04,2003
Evan Whitfield,CHI,D,27,25,1,0,0,1,0.04,2003
Ritchie Kotschau,COL,D,26,25,1,1,1,0,0.04,2003
Eric Denton,CLB,D,26,25,1,0,0,1,0.04,2003
Jay Heaps,NE,D,28,28,1,0,1,0,0.03,2003
Ricardo Clark,CLB,M,28,28,1,0,1,0,0.03,2003
Mike Clark,CLB,D,29,29,1,0,0,1,0.03,2003
Jim Curtin,CHI,D,30,30,1,0,0,1,0.03,2003
Jimmy Conrad,KC,D,30,30,1,0,1,0,0.03,2003
Brian Carroll,DC,M,0,0,0,0,0,0,0,2003
Tim Glowienka,MET,D,0,0,0,0,0,0,0,2003
Johanes Maliza,SJ,M,0,0,0,0,0,0,0,2003
Andres Murriagui,CLB,M,0,0,0,0,0,0,0,2003
Michael Piserchio,COL,D-M,0,0,0,0,0,0,0,2003
Kevin Friedland,KC,D,0,0,0,0,0,0,0,2003
Nick Walls,CHI,M,0,0,0,0,0,0,0,2003
David Stokes,DC,D,0,0,0,0,0,0,0,2003
Jason Thompson,DAL,F,0,0,0,0,0,0,0,2003
Scot Thompson,LA,D,0,0,0,0,0,0,0,2003
Andy Rosenband,DAL,M,0,0,0,0,0,0,0,2003
Jeff Moore,MET,M,0,0,0,0,0,0,0,2003
Nick Downing,NE,D,0,0,0,0,0,0,0,2003
Tony Frias,NE,M,0,0,0,0,0,0,0,2003
Billy Sleeth,COL,D,0,0,0,0,0,0,0,2003
Carl Bussey,DAL,M,0,0,0,0,0,0,0,2003
Gilles Grimandi,COL,M-D,0,0,0,0,0,0,0,2003
Hï¿½rculez Gï¿½mez,LA,F,1,0,0,0,0,0,0,2003
Taylor Graham,KC,D,2,0,0,0,0,0,0,2003
Michael Ritch,CLB,F,3,0,0,0,0,0,0,2003
Isaias Bardales Jr.,LA,F,1,0,0,0,0,0,0,2003
Alex Blake,COL,F,3,0,0,0,0,0,0,2003
Trevor Perea,CLB,M,2,0,0,0,0,0,0,2003
Mandi Urbas,DAL,M,3,0,0,0,0,0,0,2003
Roger Levesque,SJ,M,3,0,0,0,0,0,0,2003
Chris Bagley,NE,F,3,0,0,0,0,0,0,2003
Jack Jewsbury,KC,M,2,1,0,0,0,0,0,2003
Ibrahim Kante,NE,F,2,0,0,0,0,0,0,2003
Mike Nugent,MET,F,1,1,0,0,0,0,0,2003
Jose Retiz,LA,M,5,0,0,0,0,0,0,2003
Devin Barclay,DC,F,3,1,0,0,0,0,0,2003
Craig Capano,CHI,M,5,1,0,0,0,0,0,2003
Guillermo Gonzalez,LA,M,6,1,0,0,0,0,0,2003
Andrzej Juskowiak,MET,F,5,0,0,0,0,0,0,2003
Chris Brunt,KC,D,4,2,0,0,0,0,0,2003
Stephen Herdsman,COL,D,3,3,0,0,0,0,0,2003
Jacob LeBlanc,MET,M,7,2,0,0,0,0,0,2003
Jose Galvan,MET,M,9,2,0,0,0,0,0,2003
Jeff Matteo,CLB,M,6,3,0,0,0,0,0,2003
Alberto Rizo,COL,D,6,3,0,0,0,0,0,2003
Ronnie O'Brien,DAL,M,6,3,0,0,0,0,0,2003
Jason Moore,NE,M,13,1,0,0,0,0,0,2003
Arturo Torres,LA,F,9,3,0,0,0,0,0,2003
Daryl Powell,COL,M,5,4,0,0,0,0,0,2003
Jose Burciaga Jr.,KC,D,4,4,0,0,0,0,0,2003
Thiago Martins,DC,F,5,4,0,0,0,0,0,2003
Jamil Walker,SJ,M-F,19,0,0,0,0,0,0,2003
Mark Williams,CLB,D,5,5,0,0,0,0,0,2003
Kenny Arena,MET,D,10,5,0,0,0,0,0,2003
Nelson Akwari,CLB,D,11,5,0,0,0,0,0,2003
Philip Salyer,DAL,D,8,5,0,0,0,0,0,2003
Jaime Moreno,MET,F,11,7,0,0,0,0,0,2003
Marshall Leonard,NE,M,10,5,0,0,0,0,0,2003
Daniel Torres,CLB,D,8,6,0,0,0,0,0,2003
Jesus Ochoa,LA,M,10,7,0,0,0,0,0,2003
Jeff Stewart,COL,D,8,7,0,0,0,0,0,2003
Diego Walsh,CLB,M,14,6,0,0,0,0,0,2003
Dario Fabbro,KC,F,16,9,0,0,0,0,0,2003
Joseph Addo,MET,D,8,7,0,0,0,0,0,2003
Zizi Roberts,COL,F,12,8,0,0,0,0,0,2003
Tim Regan,MET,D,15,7,0,0,0,0,0,2003
Matt Crawford,COL,M,16,8,0,0,0,0,0,2003
Juan Forchetti,MET,D,10,8,0,0,0,0,0,2003
Troy Dayak,SJ,D,9,8,0,0,0,0,0,2003
Ricky Lewis,LA,D,13,7,0,0,0,0,0,2003
Davy Arnaud,KC,M,18,7,0,0,0,0,0,2003
Matt Behncke,DAL,D,13,9,0,0,0,0,0,2003
Chris Leitch,MET,D,15,10,0,0,0,0,0,2003
Edgar Bartolomeu,MET,D,13,11,0,0,0,0,0,2003
Jordan Stone,DAL,M,16,9,0,0,0,0,0,2003
Stephen Armstrong,KC,M,23,9,0,0,0,0,0,2003
Chad McCarty,CLB,D,19,14,0,0,0,0,0,2003
Alex Zotinca,KC,D,20,14,0,0,0,0,0,2003
Shavar Thomas,DAL,D,15,14,0,0,0,0,0,2003
Eddie Johnson,DAL,F,22,13,0,0,0,0,0,2003
Daouda Kante,NE,D,16,14,0,0,0,0,0,2003
Logan Pause,CHI,M,23,15,0,0,0,0,0,2003
Ryan Suarez,DAL,D,15,15,0,0,0,0,0,2003
Joey DiGiamarino,MET,M,18,16,0,0,0,0,0,2003
Jesse Marsch,CHI,M,19,16,0,0,0,0,0,2003
Steve Morrow,DAL,D,17,17,0,0,0,0,0,2003
Diego Gutierrez,KC,D,20,17,0,0,0,0,0,2003
Orlando Perez,CHI,D,21,18,0,0,0,0,0,2003
Duncan Oughton,CLB,D,23,18,0,0,0,0,0,2003
Peter Vagenas,LA,M,20,18,0,0,0,0,0,2003
Brian Maisonneuve,CLB,M,23,20,0,0,0,0,0,2003
Tenywa Bonseu,DAL,D,20,20,0,0,0,0,0,2003
Rusty Pierce,NE,D,21,21,0,0,0,0,0,2003
Tyrone Marshall,LA,D,25,19,0,0,0,0,0,2003
Carlos Llamosa,NE,D,24,23,0,0,0,0,0,2003
Nat Borchers,COL,D,23,22,0,0,0,0,0,2003
Steve Jolley,MET,D,24,23,0,0,0,0,0,2003
Ryan Nelsen,DC,D,25,25,0,0,0,0,0,2003
Robin Fraser,COL,D,26,26,0,0,0,0,0,2003
Mike Petke,DC,D,25,25,0,0,0,0,0,2003
Dema Kovalenko,DC,M,26,26,0,0,0,0,0,2003
Brandon Prideaux,DC,D,28,27,0,0,0,0,0,2003
Nick Garcia,KC,D,29,29,0,0,0,0,0,2003
Jaime Moreno,DC,F,27,27,14,5,13,1,0.55,2004
Jose Cancela,NE,M,25,24,10,3,5,5,0.46,2004
Landon Donovan,SJ,M-F,23,22,10,3,7,3,0.45,2004
Amado Guevara,MET,M,24,23,10,2,5,5,0.43,2004
Dema Kovalenko,DC,M,25,25,10,4,7,3,0.42,2004
Simon Elliott,CLB,M,27,26,10,5,6,4,0.38,2004
Ronnie O'Brien,DAL,M,29,29,10,4,6,4,0.35,2004
Andy Williams,CHI,M,25,23,9,3,7,2,0.4,2004
Chris Klein,KC,M,19,19,8,3,2,6,0.43,2004
Brian Mullan,SJ,D,28,28,8,2,4,4,0.3,2004
Pat Noonan,NE,F,29,29,8,1,5,3,0.28,2004
Davy Arnaud,KC,M,30,30,8,5,4,4,0.27,2004
Steve Ralston,NE,M,30,30,8,1,2,6,0.27,2004
Richard Mulrooney,SJ,M,30,30,8,2,7,1,0.27,2004
Chris Armas,CHI,M,21,20,7,2,7,0,0.35,2004
Andreas Herzog,LA,M-F,27,25,7,1,2,5,0.31,2004
Josh Wolff,KC,F,26,25,7,5,5,2,0.28,2004
Eddie Gaven,MET,M,29,29,7,3,3,4,0.24,2004
Richie Baker,NE,M,20,11,6,0,4,2,0.52,2004
Oscar Pareja,DAL,M,24,12,6,1,3,3,0.49,2004
Chris Albright,LA,D,24,24,6,1,2,4,0.26,2004
Cobi Jones,LA,M,23,20,5,0,3,2,0.26,2004
Antonio de la Torre,COL,D,28,28,5,3,4,1,0.19,2004
Chris Henderson,COL,M,29,29,5,2,3,2,0.18,2004
Mark Lisi,MET,M,11,8,4,1,1,3,0.52,2004
Peguero Jean Philippe,COL,F,18,16,4,0,3,1,0.26,2004
Mike Magee,MET,M,22,18,4,1,3,1,0.23,2004
Justin Mapp,CHI,M,24,19,4,1,3,1,0.22,2004
Nate Jaqua,CHI,F,26,21,4,2,4,0,0.2,2004
Jeff Cunningham,CLB,F,30,19,4,1,4,0,0.19,2004
Mark Chung,COL,M,22,21,4,1,1,3,0.19,2004
Brian Ching,SJ,F,25,21,4,0,2,2,0.18,2004
Ben Olsen,DC,M,25,25,4,2,4,0,0.18,2004
Joshua Gros,DC,M-D,29,21,4,0,1,3,0.17,2004
Earnie Stewart,DC,M,26,23,4,0,1,3,0.17,2004
Jeff Agoos,SJ,D,24,24,4,0,3,1,0.17,2004
Simo Valakari,DAL,M,26,26,4,0,4,0,0.16,2004
Diego Gutierrez,KC,D,28,28,4,0,3,1,0.14,2004
Matt Crawford,COL,M,30,28,4,0,1,3,0.14,2004
Alberto Delgado,COL,F,13,9,3,0,1,2,0.36,2004
Bobby Convey,DC,M,10,10,3,0,1,2,0.33,2004
Ned Grabavoy,LA,M,15,11,3,2,2,1,0.29,2004
Dwayne De Rosario,SJ,M,21,12,3,1,3,0,0.22,2004
DaMarcus Beasley,HOU,D,15,14,3,0,1,2,0.21,2004
Eric Quill,DAL,F,23,16,3,1,2,1,0.2,2004
Freddy Adu,DC,F,30,14,3,1,2,1,0.19,2004
Ronnie Ekelund,SJ,M,26,24,3,1,3,0,0.13,2004
Shalrie Joseph,NE,M,23,23,3,2,2,1,0.13,2004
John Wolyniec,MET,F,30,23,3,1,2,1,0.13,2004
Damani Ralph,CHI,F,26,25,3,2,3,0,0.12,2004
Sasha Victorine,LA,M,26,25,3,2,3,0,0.12,2004
Eddie Johnson,DAL,F,26,25,3,0,1,2,0.12,2004
Joe-Max Moore,NE,F,3,3,2,0,1,1,0.73,2004
Arturo Torres,LA,F,18,5,2,0,2,0,0.3,2004
Bobby Rhine,DAL,M,19,6,2,0,2,0,0.26,2004
Scott Buete,CHI,M,13,8,2,0,1,1,0.26,2004
Manny Lagos,CLB,M,18,8,2,1,2,0,0.24,2004
Felix Brillant,NE,M-F,19,6,2,0,1,1,0.21,2004
Joseph Ngwenya,LA,F,22,8,2,0,1,1,0.21,2004
Cornell Glen,MET,F,18,10,2,0,1,1,0.19,2004
Ante Razov,CHI,F,13,11,2,0,1,1,0.18,2004
Ricky Lewis,COL,D,18,11,2,1,2,0,0.16,2004
Toni Nhleko,DAL,F,23,13,2,0,0,2,0.15,2004
Craig Ziadie,MET,D,15,14,2,2,1,1,0.14,2004
Alejandro Moreno,LA,F,25,12,2,0,1,1,0.14,2004
Jordan Cila,COL,F-M,21,15,2,0,1,1,0.14,2004
Eric Denton,CLB,D,18,16,2,1,1,1,0.14,2004
Jack Jewsbury,KC,M,22,15,2,1,1,1,0.13,2004
Logan Pause,CHI,M,21,19,2,0,2,0,0.12,2004
Chris Wingert,CLB,D,22,16,2,1,2,0,0.12,2004
Carlos Ruiz,LA,F,20,18,2,1,1,1,0.11,2004
Alecko Eskandarian,DC,F,24,19,2,1,2,0,0.11,2004
Brian Kamler,NE,M,22,20,2,0,2,0,0.11,2004
Jason Kreis,DAL,M,25,19,2,0,2,0,0.11,2004
Edson Buddle,CLB,F,24,20,2,0,1,1,0.1,2004
Brad Davis,DAL,M,29,24,2,1,2,0,0.09,2004
Jovan Kirovski,LA,M-F,24,23,2,0,1,1,0.09,2004
Ross Paule,CLB,M,25,23,2,1,2,0,0.09,2004
Kerry Zavagnin,KC,M,24,24,2,2,2,0,0.08,2004
Kyle Beckerman,RSL,M,29,25,2,2,1,1,0.08,2004
Kyle Martino,CLB,M,29,27,2,0,1,1,0.08,2004
Bryan Namoff,DC,D,27,27,2,0,2,0,0.08,2004
Jay Heaps,NE,D,28,26,2,0,1,1,0.07,2004
Chris Leitch,MET,D,29,29,2,0,1,1,0.07,2004
Rey Angel Martinez,COL,F,7,3,1,0,1,0,0.29,2004
Andy Dorman,NE,M,20,2,1,0,0,1,0.25,2004
Danny Szetela,CLB,M,8,4,1,0,0,1,0.24,2004
Michael Ritch,CLB,F,12,4,1,0,1,0,0.23,2004
Joey DiGiamarino,COL,M,8,5,1,0,0,1,0.22,2004
David Testo,CLB,M-F,16,4,1,0,1,0,0.2,2004
Gilberto Flores,MET,M,7,7,1,1,1,0,0.2,2004
Tony Sanneh,CLB,D,6,6,1,0,1,0,0.18,2004
Matt Taylor,KC,F,17,4,1,0,1,0,0.17,2004
Ronald Cerritos,DC,F,10,6,1,0,1,0,0.17,2004
Chris Brown,SJ,M-F,11,7,1,0,1,0,0.16,2004
Seth Trembly,COL,M-D,24,5,1,0,1,0,0.12,2004
Sergio Galvan Rey,MET,F,20,10,1,0,1,0,0.1,2004
Fabian Taylor,MET,F,21,8,1,0,1,0,0.1,2004
Peter Vagenas,LA,M,12,10,1,1,1,0,0.1,2004
Orlando Perez,CHI,D,17,13,1,0,1,0,0.08,2004
Ian Russell,SJ,D,22,12,1,1,0,1,0.08,2004
Tyrone Marshall,LA,D,18,17,1,1,1,0,0.06,2004
Ryan Cochrane,SJ,D,18,18,1,0,0,1,0.06,2004
Evan Whitfield,CHI,D,23,19,1,0,0,1,0.05,2004
Joselito Vaca,MET,M,22,20,1,0,1,0,0.05,2004
Carey Talley,DAL,D,23,19,1,1,1,0,0.05,2004
John Spencer,COL,F,22,19,1,1,1,0,0.05,2004
Paul Broome,LA,M,22,20,1,0,1,0,0.05,2004
Ricardo Clark,CLB,M,26,19,1,1,0,1,0.05,2004
Chris Gbandi,DAL,D,23,20,1,0,0,1,0.05,2004
Cory Gibbs,DAL,D,21,21,1,0,1,0,0.05,2004
Jose Burciaga Jr.,KC,D,24,21,1,0,1,0,0.05,2004
Marshall Leonard,NE,M,25,22,1,1,1,0,0.05,2004
Craig Waibel,SJ,D,23,23,1,1,0,1,0.04,2004
Duncan Oughton,CLB,D,28,21,1,0,1,0,0.04,2004
Clint Dempsey,NE,M-F,24,23,1,1,1,0,0.04,2004
Taylor Twellman,NE,F,23,23,1,0,1,0,0.04,2004
Marcelo Saragosa,LA,M,26,24,1,0,1,0,0.04,2004
C.J. Brown,CHI,D,24,24,1,1,1,0,0.04,2004
Nick Garcia,KC,D,26,26,1,0,1,0,0.04,2004
Ritchie Kotschau,COL,D,28,26,1,0,0,1,0.04,2004
Jeff Parke,MET,D,28,27,1,0,1,0,0.04,2004
Brian Carroll,DC,M,30,26,1,0,1,0,0.04,2004
Chad Marshall,SEA,D,28,27,1,0,1,0,0.04,2004
Ramiro Corrales,SJ,M,29,28,1,1,1,0,0.04,2004
Nat Borchers,COL,D,29,29,1,1,0,1,0.03,2004
Jim Curtin,CHI,D,30,30,1,0,0,1,0.03,2004
Eliseo Quintanilla,DC,F-M,0,0,0,0,0,0,0,2004
Chris Roner,SJ,M,0,0,0,0,0,0,0,2004
David Wagenfuhr,DAL,D,0,0,0,0,0,0,0,2004
Roger Levesque,SJ,M,0,0,0,0,0,0,0,2004
Perek Belleh,NE,F,0,0,0,0,0,0,0,2004
Ty Maurin,DAL,M,0,0,0,0,0,0,0,2004
Michael Erush,COL,M,0,0,0,0,0,0,0,2004
David de la Torre,COL,D-M,0,0,0,0,0,0,0,2004
Michael Bradley,TOR,M,0,0,0,0,0,0,0,2004
Bobby Thompson,NE,M,0,0,0,0,0,0,0,2004
Brian Roberts,KC,D,0,0,0,0,0,0,0,2004
Tim Lawson,DC,M,0,0,0,0,0,0,0,2004
Scot Thompson,LA,D,1,0,0,0,0,0,0,2004
Seth Stammler,MET,M-D,1,0,0,0,0,0,0,2004
Luke Vercollone,NE,M,2,0,0,0,0,0,0,2004
Jake Traeger,CLB,D,1,0,0,0,0,0,0,2004
Jamal Sutton,CLB,F,1,0,0,0,0,0,0,2004
Adrian Cann,COL,D,2,0,0,0,0,0,0,2004
Dante Washington,CLB,F,1,0,0,0,0,0,0,2004
Santino Quaranta,DC,M-F,1,0,0,0,0,0,0,2004
Josh Gardner,LA,M,2,0,0,0,0,0,0,2004
Chris Carrieri,CHI,F,1,0,0,0,0,0,0,2004
G.R. Cannon,DC,D,1,0,0,0,0,0,0,2004
Khari Stephenson,KC,M,3,0,0,0,0,0,0,2004
Tighe Dombrowski,SJ,M,4,0,0,0,0,0,0,2004
Vuk Rasovic,KC,D,1,1,0,0,0,0,0,2004
Jason Thompson,DAL,F,2,0,0,0,0,0,0,2004
Devin Barclay,CLB,F,3,1,0,0,0,0,0,2004
Zach Kingsley,COL,M,2,1,0,0,0,0,0,2004
Sumed Ibrahim,CHI,M,3,1,0,0,0,0,0,2004
Preki,KC,M,2,1,0,0,0,0,0,2004
Nana Kuffour,DC,F,5,1,0,0,0,0,0,2004
Ramon Nunez,DAL,M,8,0,0,0,0,0,0,2004
Guillermo Gonzalez,LA,M,6,1,0,0,0,0,0,2004
Kevin Ara,DC,M,6,1,0,0,0,0,0,2004
David Castellanos,COL,F,3,1,0,0,0,0,0,2004
Alan Gordon,LA,F,3,2,0,0,0,0,0,2004
Erick Scott,CLB,F,6,2,0,0,0,0,0,2004
Jordan Stone,DAL,M,5,1,0,0,0,0,0,2004
Justin Detter,KC,F,6,2,0,0,0,0,0,2004
Alexandre Boucicaut,CHI,M,5,1,0,0,0,0,0,2004
Steve Howey,NE,D,3,3,0,0,0,0,0,2004
Daouda Kante,NE,D,4,3,0,0,0,0,0,2004
Jamil Walker,SJ,M-F,10,2,0,0,0,0,0,2004
Clarence Goodson,DAL,D,5,2,0,0,0,0,0,2004
Chris Aloisi,LA,D,4,3,0,0,0,0,0,2004
Andy Herron,CHI,F,4,3,0,0,0,0,0,2004
Leonard Griffin,CHI,D,9,3,0,0,0,0,0,2004
Gary Sullivan,COL,D,16,4,0,0,0,0,0,2004
Zizi Roberts,COL,F,5,4,0,0,0,0,0,2004
Arturo Alvarez,SJ,M,11,2,0,0,0,0,0,2004
David Stokes,DC,D,11,3,0,0,0,0,0,2004
Brian Maisonneuve,CLB,M,9,5,0,0,0,0,0,2004
Craig Capano,CHI,M,13,4,0,0,0,0,0,2004
Igor Simutenkov,KC,M-F,9,5,0,0,0,0,0,2004
Eddie Robinson,SJ,D,8,6,0,0,0,0,0,2004
Denny Clanton,CHI,D,10,6,0,0,0,0,0,2004
Tim Regan,MET,D,12,7,0,0,0,0,0,2004
Christian Gomez,DC,M,9,8,0,0,0,0,0,2004
Dipsy Selolwane,CHI,F,19,5,0,0,0,0,0,2004
Stephen Herdsman,CLB,D,8,8,0,0,0,0,0,2004
Jesse Marsch,CHI,M,10,8,0,0,0,0,0,2004
Diego Walsh,KC,M,15,11,0,0,0,0,0,2004
Pablo Brenes,MET,M-D,14,5,0,0,0,0,0,2004
Kenny Arena,MET,D,10,8,0,0,0,0,0,2004
Taylor Graham,KC,D,17,7,0,0,0,0,0,2004
Ezra Hendrickson,DC,D,12,8,0,0,0,0,0,2004
Milton Reyes,DAL,D-M,12,9,0,0,0,0,0,2004
Danny Califf,LA,D,13,10,0,0,0,0,0,2004
Hong Myung Bo,LA,D,13,9,0,0,0,0,0,2004
Daryl Powell,COL,M,13,12,0,0,0,0,0,2004
Francisco Gomez,KC,M,23,10,0,0,0,0,0,2004
Tenywa Bonseu,MET,D,14,13,0,0,0,0,0,2004
Wes Hart,SJ,D-M,18,13,0,0,0,0,0,2004
Rusty Pierce,NE,D,14,13,0,0,0,0,0,2004
Todd Dunivant,SJ,D,16,13,0,0,0,0,0,2004
Matt Behncke,DAL,D,17,14,0,0,0,0,0,2004
Troy Dayak,SJ,D,16,15,0,0,0,0,0,2004
Nelson Akwari,CLB,D,19,16,0,0,0,0,0,2004
Philip Salyer,DAL,D,17,16,0,0,0,0,0,2004
Ryan Nelsen,DC,D,17,17,0,0,0,0,0,2004
Brandon Prideaux,DC,D,23,16,0,0,0,0,0,2004
Pablo Mastroeni,COL,M,17,17,0,0,0,0,0,2004
Frankie Hejduk,CLB,D,20,19,0,0,0,0,0,2004
Joe Franchino,NE,M,20,20,0,0,0,0,0,2004
Alex Zotinca,KC,D,25,20,0,0,0,0,0,2004
Avery John,NE,D,21,19,0,0,0,0,0,2004
Shavar Thomas,KC,D,25,22,0,0,0,0,0,2004
Eddie Pope,MET,D,22,22,0,0,0,0,0,2004
Mike Petke,DC,D,26,23,0,0,0,0,0,2004
Kelly Gray,CHI,D-M,25,23,0,0,0,0,0,2004
Ryan Suarez,LA,D,26,25,0,0,0,0,0,2004
Steve Jolley,DAL,D,28,28,0,0,0,0,0,2004
Robin Fraser,CLB,D,28,28,0,0,0,0,0,2004
Jimmy Conrad,KC,D,29,29,0,0,0,0,0,2004
Dwayne De Rosario,SJ,M,28,26,13,5,6,7,0.49,2005
Ronnie O'Brien,DAL,M,28,28,12,1,7,5,0.43,2005
Amado Guevara,MET,M,26,26,11,0,5,6,0.43,2005
Simon Elliott,CLB,M,32,32,11,3,6,5,0.34,2005
Landon Donovan,LA,M-F,22,20,10,2,6,4,0.48,2005
Josh Wolff,KC,F,22,22,10,4,1,9,0.47,2005
Ronald Cerritos,SJ,F,30,28,9,3,7,2,0.35,2005
Clint Dempsey,NE,M-F,26,26,9,2,4,5,0.35,2005
Christian Gomez,DC,M,31,30,9,3,5,4,0.33,2005
Chris Klein,KC,M,31,31,9,2,5,4,0.29,2005
Brad Davis,SJ,M,18,16,8,3,6,2,0.51,2005
Kyle Martino,CLB,M,27,27,8,3,4,4,0.32,2005
Justin Mapp,CHI,M,29,28,8,2,6,2,0.31,2005
Chris Henderson,CLB,M,29,29,8,2,3,5,0.3,2005
Bobby Rhine,DAL,M,28,27,8,1,5,3,0.3,2005
Jamil Walker,DC,M-F,22,6,7,2,4,3,0.86,2005
Pat Noonan,NE,F,21,21,7,2,4,3,0.34,2005
