Timestamp,ID,has_fault_type,temperature,light
'2004-02-29T00:00:00',1,0,19.26,45.08
'2004-02-29T00:00:30',1,0,19.25,45.08
'2004-02-29T00:01:00',1,0,19.25,45.08
'2004-02-29T00:01:30',1,0,19.2436,45.08
'2004-02-29T00:02:00',1,0,19.24,45.08
'2004-02-29T00:02:30',1,0,19.23,45.08
'2004-02-29T00:03:00',1,0,19.224,45.08
'2004-02-29T00:03:30',1,0,19.2142,45.08
'2004-02-29T00:04:00',1,0,19.2,45.08
'2004-02-29T00:04:30',1,0,19.1848,45.08
'2004-02-29T00:05:00',1,0,19.19,45.08
'2004-02-29T00:05:30',1,0,19.1946,45.08
'2004-02-29T00:06:00',1,0,19.18,45.08
'2004-02-29T00:06:30',1,0,19.175,45.08
'2004-02-29T00:07:00',1,0,19.1848,45.08
'2004-02-29T00:07:30',1,0,19.18,45.08
'2004-02-29T00:08:00',1,0,19.1848,45.08
'2004-02-29T00:08:30',1,0,19.175,45.08
'2004-02-29T00:09:00',1,0,19.17,45.08
'2004-02-29T00:09:30',1,0,19.16,45.08
'2004-02-29T00:10:00',1,0,19.1554,45.08
'2004-02-29T00:10:30',1,0,19.1554,45.08
'2004-02-29T00:11:00',1,0,19.15,45.08
'2004-02-29T00:11:30',1,0,19.14,45.08
'2004-02-29T00:12:00',1,0,19.13,45.08
'2004-02-29T00:12:30',1,0,19.126,45.08
'2004-02-29T00:13:00',1,0,19.1456,45.08
'2004-02-29T00:13:30',1,0,19.126,45.08
'2004-02-29T00:14:00',1,0,19.13,45.08
'2004-02-29T00:14:30',1,0,19.13,45.08
'2004-02-29T00:15:00',1,0,19.1358,45.08
'2004-02-29T00:15:30',1,0,19.1358,45.08
'2004-02-29T00:16:00',1,0,19.1162,43.24
'2004-02-29T00:16:30',1,0,19.1064,43.24
'2004-02-29T00:17:00',1,0,19.1162,43.24
'2004-02-29T00:17:30',1,0,19.1162,43.24
'2004-02-29T00:18:00',1,0,19.1064,43.24
'2004-02-29T00:18:30',1,0,19.1064,43.24
'2004-02-29T00:19:00',1,0,19.1064,43.24
'2004-02-29T00:19:30',1,0,19.11,43.24
'2004-02-29T00:20:00',1,0,19.12,43.24
'2004-02-29T00:20:30',1,0,19.126,43.24
'2004-02-29T00:21:00',1,0,19.1162,43.24
'2004-02-29T00:21:30',1,0,19.1064,43.24
'2004-02-29T00:22:00',1,0,19.1064,43.24
'2004-02-29T00:22:30',1,0,19.11,43.24
'2004-02-29T00:23:00',1,0,19.1064,43.24
'2004-02-29T00:23:30',1,0,19.1064,43.24
'2004-02-29T00:24:00',1,0,19.0868,43.24
'2004-02-29T00:24:30',1,0,19.0868,43.24
'2004-02-29T00:25:00',1,0,19.077,43.24
'2004-02-29T00:25:30',1,0,19.08,43.24
'2004-02-29T00:26:00',1,0,19.0868,43.24
'2004-02-29T00:26:30',1,0,19.077,43.24
'2004-02-29T00:27:00',1,0,19.08,43.24
'2004-02-29T00:27:30',1,0,19.08,43.24
'2004-02-29T00:28:00',1,0,19.077,43.24
'2004-02-29T00:28:30',1,0,19.0868,43.24
'2004-02-29T00:29:00',1,0,19.09,43.24
'2004-02-29T00:29:30',1,0,19.0868,43.24
'2004-02-29T00:30:00',1,0,19.0672,43.24
'2004-02-29T00:30:30',1,0,19.0574,43.24
'2004-02-29T00:31:00',1,0,19.06,43.24
'2004-02-29T00:31:30',1,0,19.0672,43.24
'2004-02-29T00:32:00',1,0,19.06,43.24
'2004-02-29T00:32:30',1,0,19.06,43.24
'2004-02-29T00:33:00',1,0,19.0574,43.24
'2004-02-29T00:33:30',1,0,19.06,43.24
'2004-02-29T00:34:00',1,0,19.0574,43.24
'2004-02-29T00:34:30',1,0,19.0574,43.24
'2004-02-29T00:35:00',1,0,19.05,43.24
'2004-02-29T00:35:30',1,0,19.0476,43.24
'2004-02-29T00:36:00',1,0,19.028,43.24
'2004-02-29T00:36:30',1,0,19.028,43.24
'2004-02-29T00:37:00',1,0,19.0182,43.24
'2004-02-29T00:37:30',1,0,19.02,43.24
'2004-02-29T00:38:00',1,0,19.02,43.24
'2004-02-29T00:38:30',1,0,19.03,43.24
'2004-02-29T00:39:00',1,0,19.028,43.24
'2004-02-29T00:39:30',1,0,19.028,43.24
'2004-02-29T00:40:00',1,0,19.03,43.24
'2004-02-29T00:40:30',1,0,19.03,43.24
'2004-02-29T00:41:00',1,0,19.028,43.24
'2004-02-29T00:41:30',1,0,19.028,43.24
'2004-02-29T00:42:00',1,0,19.0084,43.24
'2004-02-29T00:42:30',1,0,19.0084,43.24
'2004-02-29T00:43:00',1,0,19,43.24
'2004-02-29T00:43:30',1,0,19,43.24
'2004-02-29T00:44:00',1,0,19,43.24
'2004-02-29T00:44:30',1,0,18.99,43.24
'2004-02-29T00:45:00',1,0,18.99,43.24
'2004-02-29T00:45:30',1,0,18.98,43.24
'2004-02-29T00:46:00',1,0,18.979,43.24
'2004-02-29T00:46:30',1,0,18.9692,43.24
'2004-02-29T00:47:00',1,0,18.96,43.24
'2004-02-29T00:47:30',1,0,18.96,43.24
'2004-02-29T00:48:00',1,0,18.95,43.24
'2004-02-29T00:48:30',1,0,18.9496,43.24
'2004-02-29T00:49:00',1,0,18.95,43.24
'2004-02-29T00:49:30',1,0,18.95,43.24
'2004-02-29T00:50:00',1,0,18.95,43.24
'2004-02-29T00:50:30',1,0,18.95,43.24
'2004-02-29T00:51:00',1,0,18.94,43.24
'2004-02-29T00:51:30',1,0,18.94,43.24
'2004-02-29T00:52:00',1,0,18.94,43.24
'2004-02-29T00:52:30',1,0,18.94,43.24
'2004-02-29T00:53:00',1,0,18.9398,43.24
'2004-02-29T00:53:30',1,0,18.93,43.24
'2004-02-29T00:54:00',1,0,18.93,43.24
'2004-02-29T00:54:30',1,0,18.93,43.24
'2004-02-29T00:55:00',1,0,18.9104,43.24
'2004-02-29T00:55:30',1,0,18.9006,43.24
'2004-02-29T00:56:00',1,0,18.8908,43.24
'2004-02-29T00:56:30',1,0,18.8908,43.24
'2004-02-29T00:57:00',1,0,18.881,43.24
'2004-02-29T00:57:30',1,0,18.87,43.24
'2004-02-29T00:58:00',1,0,18.8516,43.24
'2004-02-29T00:58:30',1,0,18.85,43.24
'2004-02-29T00:59:00',1,0,18.86,43.24
'2004-02-29T00:59:30',1,0,18.8614,43.24
'2004-02-29T01:00:00',1,0,18.8516,43.24
'2004-02-29T01:00:30',1,0,18.8516,43.24
'2004-02-29T01:01:00',1,0,18.8614,43.24
'2004-02-29T01:01:30',1,0,18.8712,43.24
'2004-02-29T01:02:00',1,0,18.8614,43.24
'2004-02-29T01:02:30',1,0,18.8516,43.24
'2004-02-29T01:03:00',1,0,18.85,43.24
'2004-02-29T01:03:30',1,0,18.8516,43.24
'2004-02-29T01:04:00',1,0,18.8418,43.24
'2004-02-29T01:04:30',1,0,18.832,43.24
'2004-02-29T01:05:00',1,0,18.8418,43.24
'2004-02-29T01:05:30',1,0,18.83,43.24
'2004-02-29T01:06:00',1,0,18.8124,43.24
'2004-02-29T01:06:30',1,0,18.8124,43.24
'2004-02-29T01:07:00',1,0,18.82,43.24
